TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ACWG ESM,ACWG TSM,Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments
231663901,101.01,,5,5,5,5,5,5,5,90.1,218,0,0,3,KP,KP,12.4069,0.006,,1,spoc,21:14:56.88,-55:52:18.71,12.641,0.044,-16.011,0.041,2459036.904104,0.0003926639,1.43036914033977,0.0000009228199,1.64387283171534,0.018756187,20.994855,0.2144,19151.2162143199,197.45049,13.2504933448192,.66068995,1281.24179196536,1525.90509667994,109.60649,375.31,4.411,5600,,4.48851,,.890774011611938,.0438467,,,1.05,.129454,"1,27",2018-09-05,2021-10-07,2021-10-08 12:04:18,"WASP-46 b"
149603524,102.01,,5,5,5,5,5,5,5,147.3,170.1,1,2,1,KP,KP,9.7109,0.006,,1,qlp,05:48:33.56,-63:59:17.98,-15.641,0.037,26.046,0.037,2459384.943122,0.0013867,4.4119288,0.0000158,3.894,0.08,16.177972,0.00117,14790,1.07767,15.2023,.692849,999.833,1566,863,175.631,.588,6280,,4.32092,,1.21,.05,0.24,0.05,1.28,.190812,"1,2,3,4,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,36,37,38,39",2019-05-07,2021-08-24,2021-09-10 12:05:07,"WASP 62 b"
336732616,103.01,,5,5,5,5,5,5,5,54.7,136.1,0,0,5,KP,KP,11.5232,0.008,,1,spoc,20:49:49.8,-24:25:43.3,10.426,0.07,15.62,0.051,2458327.25256,0.000586,3.547854,0.000149,3.494333,0.049205,11.377523,0.133944,10424.3718,123.359314,14.581841,.196435,1212.004376,1504.858953,59.5,411.211,7.752,6351,,4.22896,,1.4,,,,1.27,.196969,"1",2018-09-05,2020-10-27,2021-08-19 00:00:00,"HATS-3 b"
231670397,104.01,,5,5,5,5,5,5,5,58.1,123.1,1,0,3,KP,KP,9.8638,0.006,,1,spoc,21:19:47.93,-58:08:56.16,10.552,0.045,-10.658,0.043,2459038.863566,0.0009549599,4.08749345335049,0.00031987653,5.60298351526058,0.075252816,3.826381,0.051854,3518.02408582376,47.758137,13.6677982374002,.6707571,2242.21859739188,1755.04896332943,34.222645,316.678,2.9655,6036,,3.93359,,2.21867,.102573,,,1.16,.166129,"1,27",2018-09-05,2020-09-18,2021-08-19 00:00:00,"WASP-73"
144065872,105.01,,5,5,5,5,5,5,5,207.7,449,1,3,2,KP,KP,9.4995,0.006,,1,qlp,22:29:49.88,-48:00:11.16,91.976,0.052,-6.861,0.069,2459084.58501,0.00011,2.18467,.0,2.718,0.014,12.448485,0.000077,11400,.0710954,14.167,.68399,998.015,1565,9,137.544,.7905,5630,,4.37759,,1.24,.06,,,1.03,.127209,"1,28",2018-09-05,2020-11-09,2021-08-19 00:00:00,"WASP-95"
38846515,106.01,,5,5,5,5,5,5,5,94.5,107.7,1,0,3,KP,KP,10.3157,0.006,,1,qlp,04:35:50.36,-64:01:37.34,10.845,0.035,-0.499,0.052,2459386.715318,0.0004872,2.8493824,0.0000042,3.806,0.532,8.425347,0.000295,7730,.272068,16.4149,.742397,3854.88,2195,657,364.411,2.729,6900,,4.438,,1.77,.08,,,1.44,.243534,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39",2019-05-07,2021-08-26,2021-09-10 12:05:07,"WASP-100b"
92352620,107.01,,5,5,5,5,5,5,5,190.5,237.5,0,1,3,KP,KP,9.6433,0.006,,1,spoc,20:55:07.98,-34:08:08.7,26.376,0.078,-44.947,0.059,2459039.335846,0.00038635198,3.95020094278708,0.000001600228,4.56436423242551,0.018132707,14.00227,0.064564,12813.762930751,59.46348,19.7058959371285,.8632607,1364.08984021221,1549.99569924754,201.10165,211.211,2.4835,6153,,4.18077,,1.71036005020142,.074613,0.22,0.1,1.14,.150731,"1,27",2018-09-05,2021-10-07,2021-10-08 12:04:18,"WASP-94 A b"
289793076,108.01,,5,5,5,5,5,5,5,46.3,113.2,0,0,4,KP,KP,13.163,0.01,,1,spoc,21:07:50.76,-26:05:48.19,3.479,0.063,-10.313,0.038,2458328.08383,0.0004391314,3.0440540665342,0.00000425771,2.59845748018295,0.061165422,24.414911,0.532696,22236.0165376302,490.51093,12.1086799407213,.2679916,315.987132647374,1075.31845422327,34.314007,421.855,8.339,5523,,4.52192,,.809867978096008,,,,.95,,"1,28",2018-09-05,2021-10-20,2021-10-21 12:04:27,"HATS-13 b"
29344935,109.01,,5,5,5,5,5,5,5,40.6,89,0,0,3,KP,KP,13.2366,0.007,,1,spoc,20:52:51.71,-25:41:14.55,1.053,0.052,-9.881,0.029,2458326.127529,0.001296,2.76676392238961,0.0002702205,2.64339780525339,0.11630573,17.236283,0.546449,15749.8566684608,503.17117,12.4991060501311,.5309893,505.883053630512,1209.57355268634,17.233343,513.011,9.1275,5346,,4.48823,,.984866,,,,.93,,"1,28",2018-09-05,2020-10-01,2021-08-19 00:00:00,"HATS-14"
281459670,110.01,,5,5,5,5,5,5,5,79.9,76.4,0,0,1,KP,KP,11.6714,0.006,,1,spoc,00:22:28.45,-59:56:33.32,-22.309,0.036,-4.893,0.034,2458328.040464,0.000446,3.17416567529447,0.00017963556,2.67886803712134,0.062372956,17.156276,0.355732,15677.3247720825,327.5873,14.7558989971005,.867575,718.965491041497,1320.67744528774,35.681557,342.14,2.912,5943,,4.42524,,1.15706,.0633669,-0.1,0.1,1.03,.12909,"1,2,28,29",2018-11-14,2020-11-06,2021-08-19 00:00:00,"HATS-30"
355703913,111.01,,5,5,5,5,5,5,5,35.9,75.1,1,0,1,KP,KP,13.183,0.006,,1,spoc,00:03:05.88,-62:28:09.54,2.894,0.024,4.911,0.025,2458326.106369,0.001084,2.106098,0.000069,1.574766,0.083967,13.580831,0.57385,12430.502967,528.39557,16.683676,14.132685,,,30.581211,508.842,3.896,5380,,4.4337,,.98,,0.245387,0.0875268,.95,,"1,2",2018-10-22,2020-10-02,2021-08-19 00:00:00,"HATS-34"
388104525,112.01,,5,5,5,5,5,5,5,90.4,178.6,1,0,3,KP,KP,11.6035,0.006,,1,spoc,03:43:44.07,-65:11:37.61,21.126,0.032,16.543,0.043,2459307.332998,0.00045685822,2.49973852094542,0.000070677204,2.86865894305606,0.035676,15.969183,0.148132,14600.5241178523,136.4257,13.8417955609641,.7231211,907.891995939268,1400.00084046884,104.74484,302.448,2.004,5650,,4.28867,,1.13732004165649,.0577764,,,1,.121147,"1,2,3,4,7,11,27,28,29,30,31,34,37",2019-05-07,2021-07-09,2021-08-19 00:00:00,"WASP-119 b"
